,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Trav3d-3,4.78107070668163,-0.23248392474224075,1.291747342538087,-0.17997631354553068,0.8571711635960435,0.9998350115734302
Trav9d-4,19.416709285642003,0.8064229356658997,1.3521529282429958,0.59639920812343,0.550908569354789,0.9998350115734302
Trav3n-3,4.78107070668163,-0.23248392474224075,1.291747342538087,-0.17997631354553068,0.8571711635960435,0.9998350115734302
Trav9n-4,17.34477026088994,-0.5876936884045361,3.6650630434207154,-0.16035022629679613,0.8726051958370409,0.9998350115734302
Trav3-4,4.407985299361298,0.9465396653802339,1.3474236975355431,0.7024810882512073,0.48237919164491383,0.9998350115734302
Trdc,17.36569053008152,0.578163623576179,0.7674270923121339,0.7533792191702086,0.45122206671901066,0.9998350115734302
Trac,31.088832421332437,-0.2653964833578019,0.6118150244340516,-0.43378549522104687,0.6644442155147098,0.9998350115734302
Trbc2,1144.565776473678,0.15915407645347818,0.20086091832043568,0.7923595977968093,0.4281510302309286,0.9998350115734302
Igkc,13.286437732607697,-0.4477873809080722,0.8506475755930867,-0.5264076378468096,0.5986050100322055,0.9998350115734302
Igha,6.0715684314420715,-0.9890780200512928,1.2740517069743378,-0.7763248654956002,0.4375571949459319,0.9998350115734302
Ighg2c,272.09251579671496,0.04580442480945431,0.3740529097106704,0.12245440048811276,0.902539157274407,0.9998350115734302
Ighg2b,23.02202956822967,0.12628802204072645,0.8058789791279988,0.15670842063330204,0.8754746503756653,0.9998350115734302
Ighd,43.13555819072045,-0.10136584290787597,0.4824821401450038,-0.21009242513600976,0.8335955374180483,0.9998350115734302
Ighm,2520.030889378801,0.04505275840501394,0.17120824009607594,0.2631459699587586,0.7924380732011179,0.9998350115734302
Iglc2,6.768761056862046,-0.5131664434206592,1.4648002174843266,-0.3503320366117778,0.7260895250653592,0.9998350115734302
mt-Nd1,313257.2677543457,0.017555127864803018,0.11223907967070346,0.1564083375978112,0.8757111656053497,0.9998350115734302
mt-Nd2,199752.7271857222,0.02988872206972002,0.12242914700418822,0.24413077115286566,0.8071295414776076,0.9998350115734302
mt-Co1,1161675.557240245,0.02811950446968021,0.2270710773454257,0.123835694084915,0.9014453695305014,0.9998350115734302
mt-Co2,384850.8163425196,0.010678593141628936,0.12782685677172964,0.08353951126795311,0.933422561724958,0.9998350115734302
mt-Atp6,393477.7973864893,0.03808122497419716,0.11150734140020625,0.34151316403035253,0.7327172964626096,0.9998350115734302
