,C1,C2,C3,KO1,KO2,KO3
Trdd1,0,0,0,0,0,0
Trdd2,0,0,0,0,0,0
Trbd1,0,0,0,0,0,0
Trbd2,0,0,0,0,0,0
Ighd4-1,0,0,0,0,0,0
Ighd3-2,0,0,0,0,0,0
Ighd5-6,0,0,0,0,0,0
Ighd2-8,0,0,0,0,0,0
Ighd5-5,0,0,0,0,0,0
Ighd2-7,0,0,0,0,0,0
Ighd5-8,0,0,0,0,0,0
Ighd5-4,0,0,0,0,0,0
Ighd2-6,0,0,0,0,0,0
Ighd5-7,0,0,0,0,0,0
Ighd5-3,0,0,0,0,0,0
Ighd2-5,0,0,0,0,0,0
Gm37327,0,0,0,0,0,0
Ighd5-2,0,0,0,0,0,0
Ighd2-4,0,0,0,0,0,0
Ighd2-3,0,0,0,0,0,0
Ighd1-1,0,0,0,0,0,0
Ighd3-1,0,0,0,0,0,0
Gm16968,0,0,0,0,0,0
Trav1,0,0,0,0,0,0
Trav2,0,0,0,0,0,0
Trav3-1,0,0,0,0,0,0
Trav5-1,0,0,0,0,0,0
Trav6-1,0,0,0,0,0,0
Trav7-1,0,0,0,0,0,0
Trav6-2,0,0,0,0,0,0
Trav7d-2,0,0,0,0,0,0
Trav6d-3,0,0,0,0,0,0
Trav7d-3,0,0,0,0,0,0
Trav6d-4,0,0,0,0,0,0
Trav7d-4,0,0,0,0,0,0
Trav8d-1,0,0,0,0,0,0
Trav9d-1,0,0,0,0,0,0
Trav6d-5,0,0,0,0,0,0
Trav10d,0,0,0,0,0,0
Trav6d-6,0,0,0,0,0,0
Trav11d,0,0,0,0,0,0
Trav7d-5,0,0,0,0,0,0
Trav12d-1,0,0,0,0,0,0
Trav13d-1,0,0,0,0,0,0
Trav14d-1,0,0,0,0,0,0
Trav15d-1-dv6d-1,0,0,0,13,3,3
Trav9d-2,0,0,4,0,0,0
Trav4d-3,0,0,0,0,0,0
Trav12d-2,0,0,0,0,0,0
Trav9d-3,0,0,0,0,1,1
Trav12d-3,0,0,0,0,0,0
Trav13d-2,0,0,0,0,0,0
Trav14d-2,0,0,0,0,0,0
Trav15d-2-dv6d-2,0,0,0,0,0,0
Trav3d-3,4,2,6,4,6,8
Trav9d-4,41,0,40,0,29,17
Trav4d-4,0,0,0,0,0,0
Trav5d-4,0,0,0,0,0,0
Trav6d-7,0,0,0,0,0,1
Trav7d-6,0,0,0,2,0,0
Trav13d-3,0,0,0,0,0,0
Trav8d-2,0,0,0,0,0,0
Trav16d-dv11,0,0,0,0,0,0
Trav13d-4,0,0,0,0,0,0
Trav14d-3-dv8,0,0,0,0,0,0
Trav7n-4,0,1,0,0,0,0
Trav6n-5,0,0,0,0,0,0
Trav10n,0,0,2,0,0,0
Trav6n-6,0,0,0,0,0,0
Trav7n-5,0,0,0,0,0,0
Trav12n-1,0,0,0,0,0,0
Trav13n-1,0,0,0,0,0,0
Trav14n-1,0,0,0,0,0,0
Trav15n-1,0,0,0,2,1,0
Trav9n-2,0,0,4,0,0,0
Trav4n-3,0,0,0,0,0,0
Trav12n-2,0,0,0,0,0,0
Trav9n-3,0,0,0,0,1,1
Trav12n-3,0,0,0,0,2,0
Trav13n-2,0,0,0,0,0,0
Trav14n-2,0,0,0,0,0,0
Trav15n-2,0,0,0,0,0,0
Trav3n-3,4,2,6,4,6,8
Trav9n-4,0,20,0,65,19,0
Trav4n-4,0,0,0,0,0,0
Trav5n-4,0,0,0,0,0,0
