,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zfp92,405.56086876639165,-0.8268836641351701,0.20143485315089157,-4.104968187981674,4.043705227703953e-05,0.019018893587634256
Wnt7b,5187.424195081282,0.35233307478631865,0.07279494179460878,4.840076330858643,1.2978926819267575e-06,0.001114720523425268
Nkd2,386.59244496352085,0.6597170128114578,0.16702992859845037,3.94969343726091,7.825135048683346e-05,0.03513129948902064
Lrg1,2219.485236584791,-3.8480582194395656,0.10444267381858863,-36.84373521615732,3.684548569462329e-297,7.278457244115884e-293
Enpp6,2520.5484140859385,0.3647812304109085,0.08879870184539428,4.107956792499311,3.991747550569731e-05,0.019018893587634256
Podn,635.9386723261523,-0.7777388241336961,0.14969507855870584,-5.195486929977399,2.0418468209124976e-07,0.00019206972428716893
Cnp,66822.20813360864,0.43044514461486033,0.06539480283783623,6.582253113940312,4.6337184710911364e-11,1.1441809334741789e-07
Hapln4,17843.93005424752,-0.5001230486291462,0.09027440263397908,-5.540031659438543,3.024169691806157e-08,3.514085181878755e-05
Mbp,320207.9460152537,0.5210439319897312,0.10834929338293257,4.80892782704393,1.5174197590966004e-06,0.0011990043968477697
Tspan2,28912.81571009076,0.32324220627600847,0.08208417528697794,3.9379357244670827,8.218560126746557e-05,0.03607765260972255
Bambi,672.7373329447149,-0.6360788276623014,0.16551457213112084,-3.8430382260143174,0.00012152053243590724,0.04899013464773289
Apol8,500.6320131780676,-0.7376768227588187,0.16476723004944263,-4.477084566739757,7.566928134401618e-06,0.004671159323967799
Dmgdh,420.3596038878789,-2.2218283325076995,0.20977856773776435,-10.5913028030829,3.270085801403373e-26,1.614931873023056e-22
Arhgef16,118.32908294216486,-1.2667413477534382,0.30728171193533327,-4.122410474008362,3.7492834157907034e-05,0.01851583614888239
Neurod6,5689.080170019192,0.8135292791150588,0.08979365660076256,9.059986082671124,1.3046720160151806e-19,5.154498200872776e-16
Herc6,1094.1243834904255,0.5500874629782087,0.11840248110597079,4.64591162144548,3.3857794008270884e-06,0.0023062995270323556
Pyurf,2289.26841935064,0.4058026148286478,0.0930863436972064,4.359421572606319,1.304066785611437e-05,0.0072733605797664115
Myo18b,449.40438404358474,-1.1737998197410293,0.16632074005904593,-7.05744707078814,1.6958932834938753e-12,4.785810846019716e-09
Trf,31686.31450216996,0.47437232934709095,0.0988920948564932,4.7968680412268965,1.6116569657649809e-06,0.0012244873731431319
Ccdc42,235.21958418278146,-1.2825598366030109,0.21633758842007503,-5.928511295561784,3.0569338855005385e-09,5.032222664514804e-06
Cldn11,37892.99052680782,0.3903385453786523,0.07381889515058394,5.287786339559764,1.2380546705416052e-07,0.00012228265980939436
Pnpla6,6134.158908082397,-0.40031090315235734,0.0892128325040812,-4.48714486376211,7.218399555029848e-06,0.004599750477743859
Plp1,327321.11117052654,0.36083776979489635,0.07113616876954736,5.072493726276797,3.9263608412130357e-07,0.000352551509351465
Krt80,840.0134512188424,0.6589670251315998,0.1662655269196309,3.963341273083806,7.390800968228489e-05,0.03395299588985711
